ccg_nm,,,org_cd,pop_2019,pop_2020,region,access_2021,access_2122,mhspend_allages_1718,mhspend_allages_1819,mhspend_allages_1920,mhspend_allages_2021,mhspend_allages_2122,mhspend_perc_allocation_1718,mhspend_perc_allocation_1819,mhspend_perc_allocation_1920,mhspend_perc_allocation_2021,mhspend_perc_allocation_2122,mhspend_cyp_1718,mhspend_cyp_1819,mhspend_cyp_1920,mhspend_cyp_2021,mhspend_cyp_2122,EDspend_1718,EDspend_1819,EDspend_1920,EDspend_2021,EDspend_2122,number_referred,avg_wait_2122,perc_closed_2122,tier4_beddays,tier4_admissions,,Organisation Name,Total number of People,"Average Waiting Time (for People with Two Contacts, Days)",Number of People Waiting Between 0 and 4 Weeks,% Waiting Between 0 and 4 Weeks,Number of People Waiting Between 4 and 6 Weeks,% Waiting Between 4 and 6 Weeks,Number of People Waiting Between 6 and 8 Weeks,% Waiting Between 6 and 8 Weeks,Number of People Waiting Between 8 and 10 Weeks,% Waiting Between 8 and 10 Weeks,Number of People Waiting Between 10 and 12 Weeks,% Waiting Between 10 and 12 Weeks,Number of People Waiting Over 12 Weeks,% Waiting Over 12 Weeks,Referral Closed Before Treatment ,% Referral Closed Before Treatment ,"Number of People Still Waiting, no contact","% Still Waiting, no contact","Number of People Still Waiting, one contact","% Still Waiting, one contact",Contacts Before Referral
ENGLAND,,,,12023568,12093288,,419105,470815,10079621176,10476771526,11190603679,11937705237,12693647557,0.136096275,0.139913642,0.142048725,0.133203942,0.142400144,£640.5m,£726.1m,£799.0m,£868.7m,£927.1m,£46.7m,£49.1m,£55.1m,£61.9m,£71.9m,733756,40,32,76,1,,,,,,,,,,,,,,,,,,,,,,,
NHS BLACKBURN WITH DARWEN CCG,NHS BLACKBURN WITH DARWEN CCG,Match,00Q,38742,38653,North West,1535,1940,29706000,31704000,37041000,39571000,44805000,0.130278046,0.1387927,0.153363641,0.15810383,0.179015999,1741000,1707000,1861000,2296000,2802000,302000,198000,207000,213000,243000,3095,18,46,74,1,,NHS BARNSLEY CCG,2410,23,525,21,75,3,30,1,25,1,15,0,50,2,590,24,980,40,115,4,*
NHS BLACKPOOL CCG,NHS BLACKPOOL CCG,Match,00R,29215,29110,North West,1635,1870,35969102.26,40947800,46816111,51825168.27,53404000,0.129422094,0.154524082,0.158331567,0.075178108,0.077468377,2018270,651000,2990079,2821074,2995000,0,180000,107996,122138,156000,2730,53,36,122,2,,NHS BASILDON AND BRENTWOOD CCG,3280,37,985,29,65,1,55,1,45,1,35,1,255,7,1165,35,465,14,210,6,*
NHS CHORLEY AND SOUTH RIBBLE CCG,NHS CHORLEY AND SOUTH RIBBLE CCG,Match,00X,37075,37336,North West,1610,1575,29654000,35227000,40059000,43804110,51128290.58,0.121883452,0.145286949,0.156461522,0.164388363,0.191874598,1544000,1714000,1992000,2688321.671,3167790.3,95000,97000,99000,188165.0311,203537,2295,28,39,137,2,,NHS BASSETLAW CCG,1365,44,175,12,60,4,30,2,30,2,10,0,50,3,575,42,240,17,190,14,*
NHS EAST LANCASHIRE CCG,NHS EAST LANCASHIRE CCG,Match,01A,86075,86445,North West,3015,3610,68237000,80370000,82925683,92469318.2,95144922,0.122006472,0.145630276,0.143184909,0.15277528,0.15719584,4962000,4834000,5306268,6381185,7048328,729000,729000,749737,500906,563019,4485,17,36,292,4,,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",9460,47,1585,16,360,3,280,2,205,2,125,1,620,6,3170,33,2130,22,970,10,10
NHS FYLDE AND WYRE CCG,NHS FYLDE & WYRE CCG,,02M,34384,34807,North West,1150,1395,30670000,34174000,36743748,43173499.97,44542182.19,0.134635645,0.130227347,0.132721739,0.146453417,0.151096269,1203000,1380000,2610387,2790165,3009840.92,0,91000,172057,194580,219663.3416,1690,56,21,223,2,,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",14965,26,5085,33,485,3,235,1,185,1,145,0,580,3,3310,22,3425,22,1505,10,*
NHS GREATER PRESTON CCG,NHS GREATER PRESTON CCG,Match,01E,43993,44344,North West,1475,1655,33863000,35594000,39643000,45549687,50318218.02,0.1241681,0.13368036,0.1419441,0.155438273,0.171710882,1538000,1661000,1961000,2543883.045,2810257.09,113000,116000,118000,214925.1282,233783,2130,39,37,185,3,,NHS BERKSHIRE WEST CCG,8570,36,1360,15,280,3,145,1,130,1,120,1,340,3,1990,23,3165,36,965,11,80
NHS MORECAMBE BAY CCG,NHS MORECAMBE BAY CCG,Match,01K,60862,61104,North West,2315,3280,71021000,64051000,62134000,71461519.27,74546999,0.139367263,0.131385858,0.121052365,0.130246719,0.135870355,1090000,3791000,4000000,4564031,4691414,67000,60000,313000,776120,826869,4400,50,33,88,1,,NHS BIRMINGHAM AND SOLIHULL CCG,17380,36,2795,16,420,2,325,1,235,1,125,0,550,3,7675,44,3720,21,1530,8,5
NHS WEST LANCASHIRE CCG,NHS WEST LANCASHIRE CCG,Match,02G,22146,22254,North West,1105,1385,19955360,20245486.11,21122925,24407436.04,25613464.5,0.131274036,0.132769475,0.131886395,0.144478613,0.151617639,1175460.387,1153380.663,1508794,1688883.482,1795059.689,0,82618.4,86872,128414.7304,139802.4173,1540,37,28,759,9,,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,19550,57,1930,9,460,2,330,1,275,1,240,1,1135,5,6965,35,5465,27,2720,13,25
NHS BARNSLEY CCG,NHS BARNSLEY CCG,Match,02P,51083,51621,North East and Yorkshire,1855,1970,50987000,52966536,57263000,59791158,64069000,0.132801471,0.140345882,0.143458045,0.142161155,0.152332274,4305000,4745064,5817000,3958262,4507000,143000,146577,229000,200887,198000,2410,23,24,385,2,,NHS BLACKBURN WITH DARWEN CCG,3095,18,1050,33,110,3,50,1,25,0,20,0,45,1,1435,46,215,6,135,4,5
NHS BASSETLAW CCG,NHS BASSETLAW CCG,Match,02Q,23500,23828,North East and Yorkshire,540,650,20788000,21828000,23077056,24157000,26120000,0.128241035,0.136652184,0.137059125,0.136900001,0.148024507,1347000,1374000,1379000,1479000,1504000,124000,121000,119000,121000,185000,1365,44,42,505,4,,NHS BLACKPOOL CCG,2730,53,380,13,100,3,70,2,60,2,45,1,180,6,985,36,480,17,420,15,*
NHS DONCASTER CCG,NHS DONCASTER CCG,Match,02X,66918,67362,North East and Yorkshire,1905,2235,79365000,83457000,90990000,93334000,95886000,0.173995221,0.184816019,0.191455919,0.188475093,0.193628504,3052000,4923000,5259000,2796000,2266000,173000,173000,182000,138000,216000,3035,20,35,161,*,,NHS BOLTON CCG,4105,60,745,18,100,2,65,1,45,1,35,0,425,10,1305,31,420,10,965,23,*
NHS ROTHERHAM CCG,NHS ROTHERHAM CCG,Match,03L,57522,57453,North East and Yorkshire,2680,2865,52114391.75,56071000,58544747.98,58918580.84,65497750.69,0.139135706,0.154146655,0.152779766,0.144425796,0.160553167,2898990.085,3201208.033,3382787.263,2570600.23,2673441.032,139002.3716,139000.0004,139000.0005,94173.71517,78687.62911,4595,29,32,1064,6,,NHS BRADFORD DISTRICT AND CRAVEN CCG,8810,36,2290,25,460,5,305,3,180,2,135,1,455,5,2120,24,1700,19,1140,12,25
NHS SHEFFIELD CCG,NHS SHEFFIELD CCG,Match,03N,117736,118398,North East and Yorkshire,2935,2845,139713380.4,140895823.6,151514472.9,143485812.5,159458533.2,0.179822945,0.184057729,0.18804551,0.140978533,0.156672146,4373745.02,5235204.765,7520676.301,8632623.322,8942887.929,428128,430403.6946,376732.0987,364644.7389,426174.6703,5705,40,45,675,4,,NHS BRIGHTON AND HOVE CCG,2885,72,235,8,130,4,105,3,100,3,110,3,360,12,690,23,870,30,285,9,*
NHS BASILDON AND BRENTWOOD CCG,NHS BASILDON AND BRENTWOOD CCG,Match,99E,59980,60545,East of England,1440,1880,43004000,48157000,50260000,52309100,52052000,0.131491804,0.138026013,0.136207439,0.138101676,0.137422904,2698000,2865000,3408000,3405000,3922000,141000,103000,113000,101000,234000,3280,37,35,141,3,,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",8115,36,1945,23,255,3,150,1,100,1,70,0,395,4,3725,45,920,11,545,6,5
NHS CASTLE POINT AND ROCHFORD CCG,NHS CASTLE POINT AND ROCHFORD CCG,Match,99F,34322,34588,East of England,840,1020,24987000,21524000,25092315,28139000,31922000,0.108294941,0.092156586,0.10181462,0.107317729,0.121745498,1192000,1588000,1562802,2335000,2060000,95000,95000,94172,99000,152000,1550,18,41,893,5,,NHS BUCKINGHAMSHIRE CCG,7795,42,1215,15,200,2,180,2,145,1,130,1,405,5,2440,31,2105,27,970,12,*
NHS MID ESSEX CCG,NHS MID ESSEX CCG,Match,06Q,82683,83197,East of England,2270,2805,51682000,54719640.23,59930000,63596000,66908225,0.119731264,0.118278723,0.122765114,0.091337141,0.096094188,2561000,2933910,3311000,4128000,3643909.753,188000,187395,192000,0,298446.869,3705,14,36,375,2,,NHS BURY CCG,3520,33,560,15,70,1,35,0,30,0,25,0,110,3,1750,49,710,20,230,6,*
NHS SOUTHEND CCG,NHS SOUTHEND CCG,Match,99G,39738,39736,East of England,1245,1405,35406000,37899000,41455554,45255858,48004000,0.150545956,0.15408603,0.159413782,0.164879838,0.174892093,1356000,1691000,1757534,1969829,2308000,100000,100000,100000,170982,151000,2020,20,39,24,2,,NHS CALDERDALE CCG,3235,26,760,23,95,2,70,2,50,1,30,0,95,2,1295,39,585,18,255,7,*
NHS THURROCK CCG,NHS THURROCK CCG,Match,07G,44650,45381,East of England,1180,1350,25008213.73,24497000,27363354.22,29049161.67,29965499.75,0.121024104,0.115732036,0.121890108,0.124478795,0.128405403,1112955,1556000,1927567.306,2073404.439,2300779.809,185000,82000,117874.4786,297875.0142,346512.0758,2095,17,31,2410,21,,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,12705,44,1420,11,270,2,175,1,160,1,115,0,500,3,3885,30,3350,26,2825,22,*
NHS Birmingham and Solihull CCG,NHS Birmingham and Solihull CCG,Match,15E,288375,288342,Midlands,8610,9530,258929296.5,274792000,296230000,313363769.6,331762000,0.159378429,0.170067707,0.173556063,0.158402874,0.167703032,22850890.11,23696000,21752000,24684523.41,26483000,1486034.375,1453000,1514000,1633478,1859000,17380,36,44,180,*,,NHS CANNOCK CHASE CCG,1785,65,125,7,60,3,65,3,60,3,50,2,165,9,785,44,345,19,130,7,*
NHS NEWCASTLE GATESHEAD CCG,NHS NEWCASTLE GATESHEAD CCG,Match,13T,97838,98123,North East and Yorkshire,4885,4845,114342235.2,121512444.5,131846431,139114111.9,145620465.5,0.156160866,0.166275234,0.171360211,0.149363689,0.156349414,8181487.983,8694097.853,8040665.683,8407856.272,8475538.642,285589.7976,288666.3901,304761.7058,313295.0335,317305.8856,7035,57,28,90,*,,NHS CASTLE POINT AND ROCHFORD CCG,1550,18,550,35,40,2,15,0,25,1,25,1,50,3,640,41,130,8,80,5,*
NHS NORTH CUMBRIA CCG,NHS NORTH CUMBRIA CCG,Match,01H,59996,60041,North East and Yorkshire,2590,2705,59453000,58957508.31,61484054.97,65641970,71028000,0.133750051,0.128734368,0.128021903,0.10666845,0.115420769,4094778.073,3737272.354,4204216.329,5259670.664,6210262.7,0,270000,227748.5263,239191.519,244082.8,4855,55,50,90,*,,NHS CHESHIRE CCG,8090,53,500,6,105,1,105,1,70,0,70,0,265,3,3145,38,3095,38,740,9,*
NHS NORTH TYNESIDE CCG,NHS NORTH TYNESIDE CCG,Match,99C,41851,42017,North East and Yorkshire,2160,2275,42343866.83,48383181.2,49680984.53,53420799.86,56262511.77,0.141882831,0.150246195,0.14672167,0.156694484,0.165029825,2610294.311,2697313.987,2984190.686,3260752.172,3045154.477,208380.3672,271692.8131,243439.3178,209678.7623,191474.4686,2445,43,25,*,*,,NHS CHORLEY AND SOUTH RIBBLE CCG,2295,28,425,18,40,1,20,0,20,0,15,0,70,2,900,39,440,19,365,15,*
NHS NORTHUMBERLAND CCG,NHS NORTHUMBERLAND CCG,Match,00L,59050,58801,North East and Yorkshire,3970,4275,85316000,84108528.75,86940000,90960000,118858387.4,0.199898078,0.17986243,0.176997636,0.174228662,0.227666423,3362000,4166450.502,4449000,4484000,5378305.724,295000,339482.9686,421000,427000,610840.6091,4140,34,36,90,*,,NHS COUNTY DURHAM CCG,9940,37,1850,18,280,2,215,2,140,1,105,1,400,4,2945,29,2655,26,1355,13,*
NHS SOUTH TYNESIDE CCG,NHS SOUTH TYNESIDE CCG,Match,00N,30168,30255,North East and Yorkshire,2545,3215,38409689.38,42587000,45995456.42,48663145.55,50385000,0.152740643,0.1699415,0.174579001,0.171280773,0.177341223,3411606.882,3522000,3627811.679,4103854.815,4113000,102394.2624,102000,101970.5725,38682.81432,74000,3480,54,22,*,*,,NHS COVENTRY AND WARWICKSHIRE CCG,11765,49,1235,10,305,2,175,1,120,1,120,1,550,4,3680,31,4480,38,1090,9,*
NHS SUNDERLAND CCG,NHS SUNDERLAND CCG,Match,00P,54849,54965,North East and Yorkshire,3990,4115,73086000,75474559,80805053,81488123.46,88135229.78,0.151446863,0.168482032,0.172064394,0.1648347,0.178280509,3937000,5028957.679,5737267.39,5936887.48,6282148.106,211000,210897.1223,217870.558,263460.141,268650.9356,5415,80,31,1931,11,,NHS DERBY AND DERBYSHIRE CCG,13670,44,2595,18,385,2,285,2,180,1,170,1,980,7,3475,25,3645,26,1925,14,30
NHS DERBY AND DERBYSHIRE CCG,NHS DERBY AND DERBYSHIRE CCG,Match,15M,207451,207752,Midlands,7460,9065,188014839.7,186409630.4,193077988.6,211189431.8,226785072.7,0.139759416,0.135287569,0.132911393,0.122887951,0.13196282,8658000,10965976.86,15958917.05,13523999.07,14493584.52,641000,695246.5117,762745.7179,1013721.889,1018685.438,13670,44,25,353,2,,NHS DEVON CCG,13750,51,1955,14,380,2,280,2,210,1,180,1,880,6,3465,25,4860,35,1550,11,*
NHS IPSWICH AND EAST SUFFOLK CCG,NHS IPSWICH AND EAST SUFFOLK CCG,Match,06L,82917,83072,East of England,2835,3800,72783297.47,74543672,66266915.99,78034234.34,83251942.05,0.151147282,0.154140692,0.129905328,0.148355744,0.158275453,5096041.618,6102264.304,5677967.762,5470329.208,5498576.565,364930.2967,368000,428793.5616,446931.0656,581581.281,5760,53,36,685,5,,NHS DONCASTER CCG,3035,20,930,30,125,4,70,2,50,1,25,0,40,1,1090,35,500,16,205,6,*
NHS NORTH EAST ESSEX CCG,NHS NORTH EAST ESSEX CCG,Match,06T,67286,68010,East of England,2485,3120,51150000,53795475.16,58956910.48,63982836.95,66987214.02,0.109128824,0.114824185,0.118637271,0.091376746,0.095667431,3283000,3837094.506,4081383,4266195.622,4380880.053,187000,186907,191766,317438,307418,4385,20,35,365,2,,NHS DORSET CCG,6245,48,815,13,225,3,295,4,195,3,150,2,380,6,2795,44,955,15,440,7,*
NHS WEST SUFFOLK CCG,NHS WEST SUFFOLK CCG,Match,07K,48058,47279,East of England,1670,2285,39006280.4,40230000,36179662.17,41136900.06,43749037.09,0.127385139,0.130726388,0.111374126,0.122921155,0.130726481,2803446.035,3827681.916,3052263.238,2898686.61,2798304.982,194102.4016,194000,227738.5944,234545.9877,308379.341,3360,55,35,1010,8,,NHS EAST AND NORTH HERTFORDSHIRE CCG,6155,37,1045,16,230,3,145,2,100,1,75,1,230,3,2840,46,1070,17,415,6,*
NHS DEVON CCG,NHS DEVON CCG,Match,15N,225331,226851,South West,8525,8575,259609836.7,250886033.4,276489067.5,303593751.6,321910414.2,0.139759416,0.156464243,0.163557319,0.150289986,0.159357402,24133608.09,14605266.7,15303616.27,15986523.58,16631353.32,1650807.993,1535108.2,1933924.622,1938760.186,2530888.74,13750,51,25,209,1,,NHS EAST LANCASHIRE CCG,4485,17,1955,43,175,3,70,1,55,1,40,0,65,1,1625,36,280,6,220,4,*
NHS EAST LEICESTERSHIRE AND RUTLAND CCG,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,Match,03W,69178,69736,Midlands,2215,2280,44187479.51,53008106.59,58035417.13,59687957.2,61325850.16,0.118277661,0.141924541,0.147311847,0.142738093,0.146654959,2203561.37,2402218.356,2663956.475,3466855.983,3453943.15,406620.006,165025.8861,194781.9491,282817.3227,423675.5219,3215,15,29,614,7,,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,3215,15,1180,36,40,1,20,0,25,0,20,0,85,2,935,29,535,16,340,10,40
NHS LEICESTER CITY CCG,NHS LEICESTER CITY CCG,Match,04C,84082,84069,Midlands,1905,2770,77479474.62,79579090.04,83359978.89,93742136.06,101677426,0.17135533,0.177321585,0.175553087,0.144393317,0.156616239,2254000,3596075.559,5710819.629,6418458.979,7055572.614,380000,341711.1133,433401.5278,522582.3382,782856.3779,4005,13,21,669,8,,NHS EAST RIDING OF YORKSHIRE CCG,3360,28,530,15,70,2,55,1,35,1,25,0,75,2,1470,43,870,25,220,6,10
NHS WEST LEICESTERSHIRE CCG,NHS WEST LEICESTERSHIRE CCG,Match,04V,80536,81457,Midlands,2655,3535,65003000,62081215.36,62935058.05,68149899.29,73347269.72,0.150440515,0.143679245,0.137581914,0.139384025,0.150013981,3250000,3161582.102,3715774.501,4044560.038,4050768.859,265000,238999.7468,280475.2737,331587.3391,496735.6229,4250,13,21,1019,8,,NHS EAST STAFFORDSHIRE CCG,1395,50,180,12,100,7,75,5,55,4,40,2,95,6,530,38,205,14,120,8,*
NHS EAST AND NORTH HERTFORDSHIRE CCG,NHS EAST AND NORTH HERTFORDSHIRE CCG,Match,06K,126124,127116,East of England,2895,3065,89699494,90580000,96551570,101447110,106934034.1,0.122853206,0.123354233,0.124377408,0.123844662,0.130542993,6031000,7304000,8314000,8865611.403,10110119.08,340000,432000,475000,591864.0016,915878.1738,6155,37,46,1779,13,,NHS EAST SUSSEX CCG,5870,39,515,8,120,2,85,1,45,0,50,0,130,2,295,5,1560,26,3070,52,*
NHS HERTS VALLEYS CCG,NHS HERTS VALLEYS CCG,Match,06N,142204,143287,East of England,3825,4860,93967000,96379991,102673509.8,107685638,111643118.6,0.122789342,0.123762587,0.124687151,0.126729256,0.131386596,6406000,8709000,8606406.945,10544777.47,10796543.51,377000,673000,961734.3186,906670.3994,1195077.033,8400,40,36,494,6,,NHS FRIMLEY CCG,11745,54,1305,11,440,3,400,3,245,2,215,1,680,5,3105,26,4300,36,1050,8,5
NHS WEST ESSEX CCG,NHS WEST ESSEX CCG,Match,07H,69892,70703,East of England,1685,1845,43795000,45164000,46739943.91,49627520,51935016,0.11203643,0.114831417,0.112361847,0.082321615,0.086149265,2864000,3749320,4234766.319,4684720,4782000,160000,159410,164710.124,188980,254000,2770,24,41,59,*,,NHS FYLDE AND WYRE CCG,1690,56,240,14,55,3,45,2,35,1,30,1,130,7,355,21,520,30,285,16,*
NHS CANNOCK CHASE CCG,NHS CANNOCK CHASE CCG,Match,04Y,27276,27508,Midlands,820,1110,26682623.23,27024227.35,29145022.26,28900205.99,29784037.93,0.193382703,0.157731101,0.161687733,0.144200483,0.148610452,2106083.677,2531554.167,3246702.654,3341220.75,1962435.667,147150.6963,176878.0426,223290.4756,224578.3504,178088.213,1785,65,44,81,*,,NHS GLOUCESTERSHIRE CCG,7950,70,695,8,305,3,290,3,275,3,175,2,905,11,2285,28,2100,26,920,11,*
NHS EAST STAFFORDSHIRE CCG,NHS EAST STAFFORDSHIRE CCG,Match,05D,28082,28386,Midlands,930,1045,21291000,19620308.73,19547795.47,22970225.28,25114389.46,0.137210801,0.120264484,0.112918629,0.123224421,0.13472685,870000,2540790.569,3044641.973,3113063.571,1868561.831,68000,123913.4278,145773.967,149924.1367,170535.3714,1395,50,38,368,4,,NHS GREATER PRESTON CCG,2130,39,415,19,65,3,50,2,35,1,25,1,110,5,800,37,385,17,240,11,*
NHS NORTH STAFFORDSHIRE CCG,NHS NORTH STAFFORDSHIRE CCG,Match,05G,39988,39971,Midlands,1805,2055,45700000,45276429.01,57513092.58,58427930.45,64871300.35,0.164185915,0.156513663,0.188883975,0.173906508,0.193084732,1617000,1966623.36,1162578.915,2165807.55,5388459.652,422000,475225.182,490921.383,488082.5927,497177.7624,2645,31,37,721,6,,NHS HALTON CCG,1470,25,330,22,20,1,20,1,20,1,15,1,50,3,680,46,220,15,110,7,*
NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,Match,05Q,43828,44210,Midlands,1365,1695,36908087.36,35866130.05,37463081.63,39418615.98,40753147.94,0.171017017,0.138518843,0.136372703,0.134145621,0.138687171,4975317.125,5079762.057,5001858.015,5130702.571,3196987.9,375942.2266,383834.2381,377947.695,384042.3993,298851.9409,2320,57,47,209,1,,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",26885,57,3010,11,670,2,500,1,510,1,385,1,1740,6,7910,29,9990,37,2150,7,25
NHS STAFFORD AND SURROUNDS CCG,NHS STAFFORD AND SURROUNDS CCG,Match,05V,29647,29852,Midlands,950,1070,27836421.2,30696323.36,33329325.77,36790092.51,39542785.41,0.187942927,0.173910934,0.178653962,0.113073681,0.121534033,2722332.515,3239129.647,3416040.096,3656950.462,3069273.85,194197.8002,231063.5635,243683.484,245956.1211,270067.2955,1550,64,44,336,4,,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,7595,66,1045,13,245,3,185,2,140,1,120,1,880,11,2585,34,1380,18,1005,13,10
NHS STOKE ON TRENT CCG,NHS STOKE ON TRENT CCG,Match,05W,59275,59653,Midlands,2825,3355,59600000,72800348.38,76891087.68,85969849.73,95375086.26,0.153171866,0.183057571,0.183620069,0.185075887,0.20532348,2825000,3721444.646,3727949.078,3055753.556,7341850.573,590000,729618.4819,560519.4446,558128.4166,675575.3824,4200,25,37,636,2,,NHS HERTS VALLEYS CCG,8400,40,1405,16,260,3,165,1,125,1,75,0,370,4,3035,36,2100,25,865,10,*
NHS BRIGHTON AND HOVE CCG,NHS BRIGHTON AND HOVE CCG,Match,09D,50267,50332,South East,2075,2065,73396228.36,68177813.92,69397481.14,72440290.59,76736901.54,0.192082115,0.181270942,0.175387892,0.182588008,0.19341775,3990170.6,4228746.074,4730161.045,5828057.653,6202647.98,241893,235590.0483,250955.932,254591.7662,260900.1532,2885,72,23,717,6,,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",4290,33,1475,34,170,3,85,2,65,1,55,1,270,6,1330,31,450,10,385,8,*
NHS BOLTON CCG,NHS BOLTON CCG,Match,00T,68385,68931,North West,2295,2655,47874000,53598786.97,53076366.4,56440416,60142438.42,0.113811745,0.129885444,0.122072725,0.122721367,0.130770869,3503000,3378000,4015000,4372159.399,5374917.729,269000,269000,277000,424421.67,261007.2058,4105,60,31,260,5,,NHS HULL CCG,4725,34,685,14,140,3,135,2,95,2,45,0,115,2,1925,40,1360,28,220,4,*
NHS BURY CCG,NHS BURY CCG,Match,00V,43289,43180,North West,1875,1725,35588000,35752821.05,38502000,43062954,49227432.8,0.132985064,0.135991408,0.139127984,0.137920077,0.15766339,1996000,2854271,3665786,4054437,4560925.284,112000,144953,148605,173110,199339,3520,33,49,204,2,,NHS IPSWICH AND EAST SUFFOLK CCG,5760,53,860,14,115,1,80,1,65,1,60,1,405,7,2100,36,1625,28,455,7,*
"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG","NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",Match,01D,53299,53846,North West,3200,3840,41599000,40490000,42458000,45674068.43,48483553.53,0.124778633,0.12480504,0.124266105,0.124203377,0.131843325,3357000,3387000,3763000,5324863.021,5582975.86,137000,137000,145000,188797.9258,248919.0831,4290,33,31,1000,10,,NHS KENT AND MEDWAY CCG,27320,43,4390,16,825,3,445,1,300,1,230,0,1425,5,12805,46,4525,16,2375,8,*
NHS MANCHESTER CCG,NHS MANCHESTER CCG,Match,14L,122914,123872,North West,6765,5755,116050410.9,129830676.8,137761360.2,149250716.7,158579829.9,0.137361856,0.158779517,0.159060885,0.103966702,0.110465278,8205000,9304734.4,11076955.13,10448120.28,11895803.16,355000,365508,355500,429667,594000,11680,33,38,431,2,,NHS KERNOW CCG,5885,45,910,15,255,4,215,3,180,3,115,1,330,5,2220,37,1360,23,300,5,*
NHS OLDHAM CCG,NHS OLDHAM CCG,Match,00Y,59592,59450,North West,1880,2015,41855075.86,44219998.87,48847807.15,49552397.42,57054922.28,0.117929504,0.129428806,0.135393872,0.124658743,0.143532811,2759538.363,3030670.437,3298534.187,3750082.894,5186299.511,138138,157680,162944.5572,187586.634,220823.9851,3670,57,45,176,5,,NHS KIRKLEES CCG,6635,31,2450,36,190,2,115,1,85,1,80,1,485,7,930,14,1680,25,610,9,10
NHS SALFORD CCG,NHS SALFORD CCG,Match,01G,57452,58442,North West,2880,2130,51577000,55342000,60697000,64406200,67892796,0.125670664,0.13989171,0.144920027,0.183275443,0.193196964,2736000,3363000,5410000,6624000,7888534,728000,177000,161000,233000,298792,3560,29,35,659,6,,NHS KNOWSLEY CCG,2360,34,570,24,55,2,45,1,70,2,60,2,100,4,695,29,450,19,310,13,10
NHS STOCKPORT CCG,NHS STOCKPORT CCG,Match,01W,63518,63903,North West,2325,2260,47952000,30208000,51294000,57858549,64304730.52,0.115031367,0.073153308,0.117821359,0.122788187,0.13646836,3242000,3354000,2547000,3006950,3736132.493,170000,170000,179000,195370,252754.0085,3045,25,44,462,4,,NHS LEEDS CCG,9390,59,1220,12,290,3,195,2,165,1,115,1,690,7,1995,21,3405,36,1310,13,5
NHS TAMESIDE AND GLOSSOP CCG,NHS TAMESIDE AND GLOSSOP CCG,Match,01Y,57355,57652,North West,2160,2415,37611000,40273000,42375000,46612129.17,50753632.11,0.104054112,0.113350558,0.113451689,0.116898894,0.127285399,521000,2136000,2637000,3540080.453,4617737.403,144000,120000,123000,144276.0877,238342.4334,3825,40,26,424,2,,NHS LEICESTER CITY CCG,4005,13,2155,53,80,2,35,0,35,0,35,0,75,1,875,21,435,10,260,6,25
