"Clinical Commissioning Group","No. bed days in 2020-21","No. bed days in 2021-22","Change"
"NHS Shropshire, Telford and Wrekin CCG",55,430,375
"NHS Bedfordshire, Luton and Milton Keynes CCG",80,405,325
"NHS North East London CCG",560,390,-170
"NHS North West London CCG",155,285,130
"NHS West Suffolk CCG",65,200,135
"NHS Bradford District and Craven CCG",40,200,160
"NHS Kirklees CCG",0,160,160
"NHS Derby and Derbyshire CCG",0,120,120
"NHS Bristol, North Somerset and South Gloucestershire CCG",25,110,85
"NHS Cambridgeshire and Peterborough CCG",245,90,-155
